	RAM	DAPE
337	0.737204323	0.665322175
338	0.736865448	0.678487
339	0.736710016	0.67358458
340	0.73661784	0.661707092
341	0.736591038	0.66897449
342	0.73651823	0.663532456
343	0.73643981	0.688578252
344	0.735956902	0.6899317
345	0.73583577	0.658834031
346	0.735288997	0.678610398
347	0.735055474	0.664130662
348	0.735025402	0.662526972
349	0.734593408	0.66647172
350	0.734329386	0.684979789
351	0.733715723	0.663350522
352	0.73345286	0.666570418
353	0.733229916	0.659411645
354	0.733146656	0.672502522
355	0.733039605	0.655359657
356	0.732830067	0.670122676
357	0.732604627	0.677794542
358	0.7323496	0.686649987
359	0.731817393	0.641336466
360	0.731336156	0.657218663
361	0.731054092	0.665087304
362	0.731045675	0.675515054
363	0.730942884	0.680984522
364	0.730671187	0.663017832
365	0.730568872	0.668200914
366	0.730035939	0.678181503
367	0.729923033	0.670643686
368	0.729890252	0.657106924
369	0.729691103	0.636266514
370	0.729324973	0.650728329
371	0.729304541	0.682995477
372	0.729256922	0.659504393
373	0.729185391	0.668490091
374	0.72915341	0.670630157
375	0.729007535	0.645459483
376	0.728731267	0.673067072
377	0.728552751	0.655072272
378	0.728241975	0.643255617
379	0.728187413	0.667628431
380	0.728155772	0.686153707
381	0.728042661	0.662698595
382	0.728022517	0.642351469
383	0.727994299	0.658792817
384	0.727979684	0.673142965
385	0.727961327	0.644505595
386	0.727886812	0.652494526
387	0.727503085	0.679453526
388	0.727174873	0.652124311
389	0.727037772	0.679827392
390	0.727023946	0.67142362
391	0.726840094	0.657414546
392	0.726801835	0.695118305
393	0.725880111	0.667701245
394	0.725700483	0.661472465
395	0.725671087	0.666891534
396	0.725610826	0.633861996
397	0.725573836	0.672942428
398	0.72555539	0.640793485
399	0.725472766	0.641325349
400	0.725432136	0.661807686
401	0.725051435	0.670204004
402	0.725037446	0.627978919
403	0.724900908	0.661263222
404	0.724787865	0.676501247
405	0.724597286	0.660383054
406	0.723621845	0.641337317
407	0.72354287	0.642923131
408	0.723186353	0.638540474
409	0.723154585	0.63676725
410	0.722861398	0.668265852
411	0.722857867	0.640381016
412	0.722799044	0.644117691
413	0.722725082	0.672587309
414	0.72258622	0.675673243
415	0.722416083	0.668621531
416	0.722193778	0.676714769
417	0.722179306	0.677439026
418	0.722089392	0.658300711
419	0.722019238	0.662072552
420	0.721987593	0.668249471
421	0.721720459	0.654403663
422	0.721414485	0.657414299
423	0.721085689	0.661662904
424	0.720926016	0.694955709
425	0.720893342	0.672101044
426	0.720710009	0.656551684
427	0.720455358	0.642183282
428	0.720408483	0.667085907
429	0.720345673	0.655047278
430	0.720325664	0.666118424
431	0.720293106	0.675364467
432	0.720273996	0.648468141
433	0.720025818	0.642803678
434	0.720008092	0.662981564
435	0.719988994	0.675572731
436	0.71915584	0.671384615
437	0.719101556	0.65781499
438	0.718754538	0.644590159
439	0.718458366	0.646293614
440	0.718309344	0.661669121
441	0.717969892	0.648182773
442	0.717840356	0.672271658
443	0.717654626	0.650309043
444	0.717522081	0.644418931
445	0.717270518	0.658261673
446	0.717210402	0.631371733
447	0.717110705	0.657725208
448	0.717093064	0.668213113
449	0.71672221	0.641482213
450	0.715787658	0.64976496
451	0.715362094	0.654085909
452	0.71512727	0.665723557
453	0.714980379	0.692231456
454	0.714723144	0.675384645
455	0.714645587	0.647065492
456	0.714460204	0.643325751
457	0.714344849	0.642917804
458	0.714183239	0.639037235
459	0.713874244	0.663445443
460	0.713564575	0.646046481
461	0.713406467	0.647182986
462	0.712875002	0.677775819
463	0.712847242	0.661265695
464	0.712571472	0.658949223
465	0.712491668	0.637578318
466	0.712389939	0.669067207
467	0.712192895	0.656903668
468	0.711920445	0.688602228
469	0.711671786	0.653665678
470	0.711513409	0.642619755
471	0.710835266	0.664552346
472	0.710405218	0.659503819
473	0.709800621	0.628928204
474	0.709725124	0.628124441
475	0.709596838	0.639160782
476	0.709563885	0.651178057
477	0.709230119	0.65707269
478	0.709060726	0.666777169
479	0.708434628	0.642789204
480	0.70832907	0.654057054
481	0.70796357	0.61331214
482	0.707676675	0.636770072
483	0.707473345	0.632743765
